Pins,Market Value,Year,Access Value,IsActive,Error
01-24-01-300-001-0000,0,2022,SA/E,True,
01-24-01-300-002-0004,0,2021,BOR,True,
01-24-02-100-001-0000,"443,036",2022,SA/E,True,
01-24-02-300-003-0000,"7,348",2022,SA/E,True,
01-24-02-300-004-0000,0,2022,SA/E,True,
01-24-02-300-005-0000,0,2022,SA/E,True,
01-24-02-300-006-0004,0,2021,BOR,True,
01-24-03-100-003-0000,"5,842",2022,SA/E,True,
01-24-03-100-004-0000,"185,728",2022,SA/E,True,
01-24-03-100-005-0000,"85,347",2022,SA/E,True,
01-24-03-100-006-0000,"50,462",2022,SA/E,True,
01-24-03-100-007-0000,"134,011",2022,SA/E,True,
01-24-03-100-008-0000,"23,279",2022,SA/E,True,
01-24-03-100-009-0000,"3,792",2022,SA/E,True,
01-24-03-100-010-0000,"123,339",2022,SA/E,True,
01-24-03-100-016-0000,"60,936",2022,SA/E,True,
01-24-03-100-018-0000,,,,,Table doesn't exist
01-24-03-100-019-0000,"104,935",2022,SA/E,True,
01-24-03-100-020-0000,"191,485",2022,SA/E,True,
01-24-03-100-021-0010,"36,619",2022,SA/E,True,
01-24-03-100-021-0020,987,2022,SA/E,True,
01-24-03-101-001-0000,6,2022,SA/E,True,
01-24-03-101-002-0000,"290,153",2022,SA/E,True,
01-24-03-101-003-0000,"53,378",2022,SA/E,True,
01-24-03-101-004-0000,"257,654",2022,SA/E,True,
01-24-03-101-005-0000,"230,129",2022,SA/E,True,
01-24-03-101-006-0000,"274,920",2022,SA/E,True,
01-24-03-101-007-0000,"237,456",2022,SA/E,True,
01-24-03-101-008-0000,"339,379",2022,SA/E,True,
01-24-03-101-009-0000,"325,104",2022,SA/E,True,
01-24-03-101-011-0000,"327,309",2022,SA/E,True,
01-24-03-101-012-0000,"253,870",2022,SA/E,True,
01-24-03-101-013-0000,"242,736",2022,SA/E,True,
01-24-03-101-014-0000,"319,184",2022,SA/E,True,
01-24-03-101-015-0000,"329,253",2022,SA/E,True,
01-24-03-101-016-0000,"358,695",2022,SA/E,True,
01-24-03-101-017-0000,"273,123",2022,SA/E,True,
01-24-03-101-018-0000,"53,378",2022,SA/E,True,
01-24-03-101-020-0000,"334,068",2022,SA/E,True,
01-24-03-101-021-0000,3,2022,SA/E,True,
01-24-03-101-022-0000,"71,521",2022,SA/E,True,
01-24-03-101-023-0000,"71,521",2022,SA/E,True,
01-24-03-101-024-0000,"271,998",2022,SA/E,True,
01-24-03-101-025-0000,"216,892",2022,SA/E,True,
01-24-03-101-026-0000,"49,886",2022,SA/E,True,
01-24-03-101-027-0000,"53,378",2022,SA/E,True,
01-24-03-101-028-0000,"53,378",2022,SA/E,True,
01-24-03-101-029-0000,"387,903",2022,SA/E,True,
01-24-03-101-030-0000,"257,102",2022,SA/E,True,
01-24-03-101-031-0000,"262,028",2022,SA/E,True,
